,user,user_rt,weight,idd
833,PsoeCerroAmate,belitagl,4,1339561578023284740
834,edurne64,CristinaSegui_,411,1339667170842832902
835,ClaudioMG90,Liberales_Chile,50,1339626793393934338
836,Chhano1,sanchezcastejon,1313,1339587082193260546
837,Beatriz02825984,mlalanda,23,1339624591090659328
838,antoniobb1953,diego952672768,35,1339588358654156807
839,Rutyrq,ramonlobo,742,1339607957810528256
840,Largismo,mlalanda,189,1339610851649662977
841,EsTransparente,cuquemar,406,1339511128536346625
842,IkaEly7,vladomirosevic,109,1339588550048710664
843,margamarcha,Camila_RojasV,892,1339622767516397574
844,rosavergar23,diego952672768,35,1339588358654156807
845,Hechulera,PSOE,415,1339584712772218886
846,MrTomson1,marcoporchile,50,1339646995682762756
